"Energy","Electricity_Generation","Power_Sector_Emissions"
"Fossil",8.35,4.24
"Fossil",7.86,3.99
"Fossil",7.72,3.91
"Fossil",7.06,3.57
"Fossil",7.14,3.58
"Fossil",8.11,4.13
"Fossil",8.49,4.32
"Fossil",7.72,3.91
"Fossil",6.83,3.38
"Fossil",6.13,3.04
"Fossil",5.69,2.81
"Fossil",6.61,3.28
"Fossil",7.56,3.75
"Fossil",7.65,3.84
"Fossil",6.23,3.07
"Fossil",5.83,2.88
"Fossil",6.07,3.05
"Fossil",6.63,3.33
"Fossil",7.87,4
"Fossil",6.82,3.37
"Fossil",6.04,3.04
"Fossil",6.34,3.15
"Fossil",6.16,3.07
"Fossil",6.96,3.51
"Fossil",7.66,3.81
"Fossil",6.98,3.5
"Fossil",7.66,3.85
"Fossil",5.51,2.72
"Fossil",6.04,2.99
"Fossil",6.58,3.29
"Fossil",6.97,3.62
"Fossil",6.35,3.25
"Fossil",5.88,2.91
"Fossil",6.51,3.21
"Fossil",7.77,3.93
"Fossil",8.43,4.31
"Fossil",8.62,4.37
"Fossil",6.68,3.3
"Fossil",7.48,3.76
"Fossil",6.83,3.49
"Fossil",7.16,3.67
"Fossil",8.26,4.2
"Fossil",8.43,4.27
"Fossil",8.52,4.31
"Fossil",6.87,3.52
"Fossil",6.16,3.1
"Fossil",6.67,3.4
"Fossil",8.38,4.26
"Fossil",8.94,4.55
"Fossil",7.17,3.64
"Fossil",7.17,3.64
"Fossil",5.99,3.06
"Fossil",7.04,3.58
"Fossil",7.49,3.86
"Fossil",7.33,3.74
"Fossil",6.13,3.24
"Fossil",5.47,2.75
"Fossil",0.11,0.05
"Fossil",0.09,0.04
"Fossil",0.09,0.04
"Fossil",0.09,0.04
"Fossil",0.09,0.04
"Fossil",0.09,0.04
"Fossil",0.1,0.05
"Fossil",0.1,0.05
"Fossil",0.08,0.04
"Fossil",0.09,0.04
"Fossil",0.11,0.05
"Fossil",0.11,0.05
"Fossil",0.12,0.06
"Fossil",0.11,0.05
"Fossil",0.12,0.06
"Fossil",0.12,0.06
"Fossil",0.11,0.05
"Fossil",0.12,0.06
